dataset,sample,pair_id,Tissue,module_score,gastric_lineage_deconv_score,broad_epithelial_deconv_score
GSE29272,GSM723669,TYC0031,Tumor,-0.828097306788586,-0.372472948655419,-0.210820996765356
GSE29272,GSM723670,TYC0032,Normal,0.847067991411663,-0.312727478973044,-0.316712596435981
GSE29272,GSM723671,TYC0032,Tumor,-0.890204974674336,-0.53074785026958,-0.626132229072981
GSE29272,GSM723672,TYC0033,Normal,-0.0433214756564538,-0.915435517330729,-0.809693862504687
GSE29272,GSM723673,TYC0033,Tumor,-1.17895908713193,-1.13634735890121,-0.693962501333614
GSE29272,GSM723674,TYC0034,Normal,0.652851165028234,-0.684400210265908,-1.07339927991863
GSE29272,GSM723675,TYC0034,Tumor,-0.818582422627758,-0.84619828456193,-0.343328233374425
GSE29272,GSM723676,TYC0035,Normal,0.0196928765299151,-0.651147876773122,-0.851245948502148
GSE29272,GSM723677,TYC0035,Tumor,-0.96796088047923,-0.880122432509606,0.923282616540946
GSE29272,GSM723678,TYC0036,Normal,0.344225699651054,-0.173215461835754,0.00740359027204867
GSE29272,GSM723679,TYC0036,Tumor,-1.2138044360854,-0.987883356621881,-0.76540516782595
GSE29272,GSM723680,TYC0037,Normal,-1.1722614079034,-1.49301358066052,-2.78167378403023
GSE29272,GSM723681,TYC0037,Tumor,-1.07505229668026,0.411677194413171,0.684546846194639
GSE29272,GSM723682,TYC0038,Normal,0.320901120227289,-0.544059495460184,0.548285927340355
GSE29272,GSM723683,TYC0038,Tumor,-1.16890291148538,-1.00507741240331,-0.249490779813214
GSE29272,GSM723684,TYC0039,Normal,0.295881851417208,-0.861392944274605,-1.06556519997419
GSE29272,GSM723685,TYC0039,Tumor,-1.18561754142352,-0.748625897568145,0.554468605011676
GSE29272,GSM723686,TYC0040,Normal,0.43594355336705,-1.20204538167805,-1.42288885274968
GSE29272,GSM723687,TYC0040,Tumor,-0.358824451837884,-0.506991903129884,-0.368549992594301
GSE29272,GSM723688,TYC0041,Normal,-0.189319907774549,0.741754490803509,-0.273521729363355
GSE29272,GSM723689,TYC0041,Tumor,-1.16891546420083,-0.957779695837036,0.390590685722413
GSE29272,GSM723690,TYC0042,Normal,0.0136953068721427,-0.848461496623691,-1.34626295659812
GSE29272,GSM723691,TYC0042,Tumor,-0.691215122035888,0.356277444239105,-0.109207580835876
GSE29272,GSM723692,TYC0043,Normal,0.759830343393956,-0.335402403927704,-0.997381719189796
GSE29272,GSM723693,TYC0043,Tumor,-0.887716545838455,-0.0749405126801143,1.05170351321094
GSE29272,GSM723694,TYC0044,Normal,-0.132180551787282,-1.2519667395851,-1.79613196236272
GSE29272,GSM723695,TYC0044,Tumor,-1.2097747861663,-0.785940734489936,0.861834213183187
GSE29272,GSM723696,TYC0045,Normal,0.0461759301215759,0.0995865893271396,0.119061479257306
GSE29272,GSM723697,TYC0045,Tumor,-1.24454598533412,-0.792072433928014,0.182026941938719
GSE29272,GSM723698,TYC0046,Normal,0.566372717080879,-0.494815670361224,-0.95585024314501
GSE29272,GSM723699,TYC0046,Tumor,-0.918177797486326,-0.758915425109455,0.702955487564266
GSE29272,GSM723700,TYC0047,Normal,0.419549391057947,-0.597193229253579,-0.410840547549691
GSE29272,GSM723701,TYC0047,Tumor,-1.08753561657047,-1.33919800249884,-2.16725645352088
GSE29272,GSM723702,TYC0048,Normal,0.682165253089642,-0.442113452489467,-0.0465993101524863
GSE29272,GSM723703,TYC0048,Tumor,-1.03465684122226,-0.954697715095017,0.746305304689148
GSE29272,GSM723704,TYC0049,Normal,0.582384817474436,-0.384450066812271,-1.19348346213002
GSE29272,GSM723705,TYC0049,Tumor,-1.23206254474892,0.272444591248603,-0.176481376044401
GSE29272,GSM723706,TYC0050,Normal,0.746149573237363,-0.346345348190592,0.10494197558067
GSE29272,GSM723707,TYC0050,Tumor,-1.06821269828902,-0.532962495093091,-0.0789703686008514
GSE29272,GSM723708,TYC0051,Normal,0.839923504900132,-0.254328799231314,-0.326675330889446
GSE29272,GSM723709,TYC0051,Tumor,-1.12967530680941,-0.234253548649219,-0.303975786280578
GSE29272,GSM723710,TYC0052,Normal,0.640406509215027,-0.231690391143963,0.188438270705503
GSE29272,GSM723711,TYC0052,Tumor,-0.741221660241354,0.0196923742067515,0.515308838772755
GSE29272,GSM723712,TYC0053,Normal,-0.39995685132653,-0.992943600561513,-1.54987881898504
GSE29272,GSM723713,TYC0053,Tumor,-0.999029330809029,-0.624001071504745,-0.432511664593459
GSE29272,GSM723714,TYC0054,Normal,0.476000964802372,-0.222082704031754,-0.753179502157911
GSE29272,GSM723715,TYC0054,Tumor,-0.765191774870227,-0.815268846449124,0.920037230367682
GSE29272,GSM723716,TYC0055,Normal,0.820811889419586,-0.143792120589396,-0.419535781624513
GSE29272,GSM723717,TYC0055,Tumor,-1.0638335055639,-0.00374324807824633,0.299147170031168
GSE29272,GSM723718,TYC0056,Normal,0.897740401554317,-0.340350277632548,-0.426118851122894
GSE29272,GSM723719,TYC0056,Tumor,-0.844719649471477,-0.498293525618441,-1.16698855543001
GSE29272,GSM723720,TYC0057,Normal,-0.134861518351779,0.697043268828674,-0.0816053158824715
GSE29272,GSM723721,TYC0057,Tumor,-1.22867242491177,-0.0475237001947066,0.231847843712079
GSE29272,GSM723722,TYC0058,Normal,0.941426387367097,-0.345011208469345,-0.739866017581348
GSE29272,GSM723723,TYC0058,Tumor,-0.91539796762256,-0.610518041277032,-0.503840504929938
GSE29272,GSM723724,TYC0059,Normal,0.510716182137393,-0.966096344487948,-0.793020776541162
GSE29272,GSM723725,TYC0059,Tumor,-0.626885819494295,-0.0576158952149576,0.39607417492808
GSE29272,GSM723726,TYC0060,Normal,-0.171125225624754,-0.534913897555856,0.22199079465037
GSE29272,GSM723727,TYC0060,Tumor,-1.10609994853609,-0.408613748607864,0.327592697179613
GSE29272,GSM723728,TYC0061,Normal,0.870927990199586,-0.256897346543981,-0.314182987778147
GSE29272,GSM723729,TYC0061,Tumor,-0.346172224261858,-0.430374066990328,-0.240386503632853
GSE29272,GSM723730,TYC0062,Normal,-1.05530703277239,-1.45796381381546,-1.39438006951668
GSE29272,GSM723731,TYC0062,Tumor,-0.929981042449229,-0.914929003353702,-0.536635398608758
GSE79973,GSM2109532,patient_1,Tumor,-1.17526363701432,-1.59366601728749,-0.870688724914218
GSE79973,GSM2109533,patient_1,Normal,1.03532082077014,0.344930813633786,-0.599294412971941
GSE79973,GSM2109534,patient_2,Tumor,-1.074769785613,-0.742148295262209,0.712261352327426
GSE79973,GSM2109535,patient_2,Normal,1.09427316953843,0.691828439176038,-0.361875149360436
GSE79973,GSM2109536,patient_3,Tumor,-1.0239021312575,-0.597703103886422,-1.07923435768624
GSE79973,GSM2109537,patient_3,Normal,0.940904404086691,0.550505757869852,-0.709398241749757
GSE79973,GSM2109538,patient_4,Tumor,-0.199805405475224,-0.286162471025555,-2.20273397700018
GSE79973,GSM2109539,patient_4,Normal,1.170705780104,0.287593428980123,-1.83804969637971
GSE79973,GSM2109540,patient_5,Tumor,-0.676980927999648,-0.609065691879173,0.25482207310272
GSE79973,GSM2109541,patient_5,Normal,0.522378488858895,0.838251388160644,0.0766674329807923
GSE79973,GSM2109542,patient_6,Tumor,-0.0853486295980439,-0.0360289011505084,0.817588247965839
GSE79973,GSM2109543,patient_6,Normal,0.583051343166186,0.45075482236809,0.209948103911043
GSE79973,GSM2109544,patient_7,Tumor,-0.761493943034676,-0.749157812484649,1.50846077360806
GSE79973,GSM2109545,patient_7,Normal,0.925067701915916,0.832551354908657,-0.578709897401706
GSE79973,GSM2109546,patient_8,Tumor,-0.889052661731085,-0.490665787712918,0.701451071901812
GSE79973,GSM2109547,patient_8,Normal,0.458536122951459,1.08279083027559,0.671361901587114
GSE79973,GSM2109548,patient_9,Tumor,0.291609457838835,0.438521456183068,0.825169646098424
