Patient,Sample,Tissue,Type,n_cells,module_score,module_score_median
P180118,180118T,Tumor,CD4+ T,359,-0.102734923493912,-0.120845843792006
P180123,180123N,Normal,CD4+ T,104,-0.101914649551867,-0.1142226536617
P180123,180123T,Tumor,CD4+ T,984,-0.11033945562838,-0.131273790772874
P180124,180124N,Normal,CD4+ T,239,-0.10851254465116,-0.127830216922722
P180124,180124T,Tumor,CD4+ T,2014,-0.127102817454041,-0.148617177539994
P180129,180129T,Tumor,CD4+ T,316,-0.0249632447358876,-0.0527316224596224
P180308,180308N,Normal,CD4+ T,29,-0.0913987010492497,-0.0947816615590667
P180308,180308T,Tumor,CD4+ T,2530,-0.117333397920755,-0.131273790772874
P180605,180605T,Tumor,CD4+ T,253,-0.122044745443381,-0.138189230559126
P180606,180606T,Tumor,CD4+ T,1591,-0.120480605812113,-0.132089272362835
P180608,180608T,Tumor,CD4+ T,647,-0.112447394322214,-0.131273790772874
P181019,181019N,Normal,CD4+ T,143,-0.128618807521495,-0.148617177539994
P181019,181019T,Tumor,CD4+ T,565,-0.0903275264359761,-0.120845843792006
P181025,181025N,Normal,CD4+ T,108,-0.0786485079634581,-0.104447894773612
P181025,181025T,Tumor,CD4+ T,172,-0.106169949675216,-0.129223424249412
P181026,181026T,Tumor,CD4+ T,112,-0.115046610809507,-0.134261344405522
P181217,181217T,Tumor,CD4+ T,454,-0.0988116870409688,-0.1142226536617
P181227,181227N,Normal,CD4+ T,28,-0.103651625771061,-0.109978070967911
P181227,181227T,Tumor,CD4+ T,37,-0.105046388366158,-0.124404234087258
P190118,190118T,Tumor,CD4+ T,258,-0.0582048212840132,-0.0762180004108422
P171012,171012T,Tumor,Myeloid,167,-0.120590540125497,-0.132089272362835
P171116,171116N,Normal,Myeloid,57,-0.0986449563788464,-0.1142226536617
P171116,171116T,Tumor,Myeloid,394,-0.0755404524457918,-0.102069794530836
P171218,171218T,Tumor,Myeloid,25,-0.101420228698243,-0.109424788344017
P180116,180116T,Tumor,Myeloid,1005,-0.0965384597728027,-0.120086986758038
P180118,180118N,Normal,Myeloid,26,-0.0230458443544228,-0.0548629185306342
P180118,180118T,Tumor,Myeloid,1013,-0.0965656629242159,-0.11397628710639
P180123,180123N,Normal,Myeloid,164,-0.0597268728027053,-0.0834634651097364
P180123,180123T,Tumor,Myeloid,46,-0.0365264508673122,-0.0730790871569104
P180124,180124N,Normal,Myeloid,249,-0.0800466641533608,-0.0955124050863565
P180124,180124T,Tumor,Myeloid,556,-0.100352402466405,-0.116368299048093
P180129,180129N,Normal,Myeloid,26,0.0454938716259595,0.0278570051198793
P180129,180129T,Tumor,Myeloid,158,-0.0375969740050892,-0.0515735543943871
P180305,180305T,Tumor,Myeloid,39,-0.0393334672535004,-0.0552481036896528
P180308,180308T,Tumor,Myeloid,1421,-0.0765650073644502,-0.0975039136576814
P180605,180605T,Tumor,Myeloid,20,-0.104549841765269,-0.120386266567676
P180606,180606T,Tumor,Myeloid,167,-0.100668313371982,-0.127761283578258
P180608,180608T,Tumor,Myeloid,52,-0.120272089155478,-0.132089272362835
P181019,181019N,Normal,Myeloid,943,-0.110207269327938,-0.131273790772874
P181025,181025N,Normal,Myeloid,219,-0.0951610745175039,-0.105940352067225
P181025,181025T,Tumor,Myeloid,27,-0.108341723890791,-0.127761283578258
P181026,181026T,Tumor,Myeloid,81,-0.0789475769562291,-0.104539756764813
P181217,181217T,Tumor,Myeloid,169,-0.0934812151580149,-0.11733333659739
P181227,181227N,Normal,Myeloid,813,-0.0836075058960166,-0.102069794530836
P181227,181227T,Tumor,Myeloid,662,-0.0541528001328258,-0.083766028582607
P190103,190103N,Normal,Myeloid,314,-0.0856456652108725,-0.102442058846319
P190103,190103T,Tumor,Myeloid,715,-0.0951613423588933,-0.109978070967911
