gene,log2FoldChange,padj,status
MDK,1.11202780820149,1,Not significant
ZBTB16,-1.11084399473134,1,Not significant
DPT,-1.10240158698507,1,Not significant
HMGB2,1.09898427033582,1,Not significant
FBN1,1.09827141366045,1,Not significant
UBE2C,1.09771589641045,1,Not significant
GLUL,-1.0975935367811,1,Not significant
SERPING1,1.09745458673134,1,Not significant
HYAL1,-1.09741274612687,1,Not significant
DTL,1.09592544755224,1,Not significant
CXCL9,1.09363775635821,1,Not significant
ARPC1B,1.09215603091045,1,Not significant
LRRC17,-1.09089154198507,1,Not significant
CD14,1.08930207412687,1,Not significant
PON2,1.08821937457463,1,Not significant
GATA6,-1.08651487083582,1,Not significant
LAMB1,1.08571030753731,1,Not significant
EPCAM,1.08321004083582,1,Not significant
CEMIP,1.08289802033582,1,Not significant
MAL,-1.08068771880597,1,Not significant
DPYSL3,1.07862501305597,1,Not significant
SELENBP1,-1.07804786751493,1,Not significant
FOSB,-1.07309360273881,1,Not significant
RAP1GAP2,-1.07308919084328,1,Not significant
AEBP1,1.0696495013806,1,Not significant
VILL,-1.06649092891791,1,Not significant
ADH1B,-1.06587438746766,1,Not significant
RAI14,1.0627947396194,1,Not significant
MAFB,1.06259614486567,1,Not significant
PCNA,1.06227620946269,1,Not significant
IGFBP3,1.05115834424254,1,Not significant
CDC20,1.05000499295522,1,Not significant
SPOCK1,1.04695739525373,1,Not significant
C5,-1.04293550611194,1,Not significant
HDC,-1.04083911421642,1,Not significant
KIF4A,1.0397363475597,1,Not significant
LY96,1.03830656462687,1,Not significant
HPN,-1.03735351004478,1,Not significant
FAM46A,-1.03447029904478,1,Not significant
IER5,1.03389147429851,1,Not significant
CXCL14,-1.02593963671642,1,Not significant
CKMT2,-1.02572794301493,1,Not significant
SGK1,-1.02523232270149,1,Not significant
B3GAT1,-1.02487647335075,1,Not significant
DUSP4,-1.02482091505597,1,Not significant
FCER1G,1.02386380164925,1,Not significant
ISLR,1.02036211540298,1,Not significant
BAMBI,1.01939535252239,1,Not significant
S100A4,1.01681297268657,1,Not significant
KAL1,1.0159125014403,1,Not significant
HMGB3,1.01234576878358,1,Not significant
TPD52L1,-1.01180851473134,1,Not significant
CYP3A5,-1.01027641694776,1,Not significant
CDC25B,1.00821723102239,1,Not significant
AKR1C1,-1.00410682236567,1,Not significant
MXRA5,1.00320563981343,1,Not significant
FAM189A2,-1.0017312648806,1,Not significant
