dataset,gene,discovery_log2FC,validation_mean_paired_difference,direction_concordant
GSE19826,KRT20,-1.86227400429851,-2.31607411351889,TRUE
GSE19826,ACSM3,-1.33236239025373,-1.84321604558432,TRUE
GSE19826,DUOX2,-1.58579049145523,-2.3068878036244,TRUE
GSE19826,ECI2,-1.29119499981343,-1.06634353400937,TRUE
GSE19826,PTPRZ1,-1.30358992460448,-2.07277447988732,TRUE
GSE19826,XYLT2,-1.23521488548507,-0.358687819995352,TRUE
GSE19826,COL2A1,-1.37088075879851,-2.65744968676558,TRUE
GSE19826,HOMER2,-1.27161416896269,-1.92054840308697,TRUE
GSE19826,ALDH6A1,-1.16739648163134,-1.49942812720713,TRUE
GSE19826,PXMP2,-1.20442029232836,-1.40333420781919,TRUE
GSE19826,ADAM28,-1.26061963671144,-1.48036033993028,TRUE
GSE19826,FOLR1,-1.30226514785075,-1.50008988038226,TRUE
GSE19826,FBP2,-1.16829347575373,-3.46334031309322,TRUE
