donor,comparison,n_sections,mean_spearman_rho,median_spearman_rho
D01,Stromal,2,-0.229131257340126,-0.229131257340126
D02,Stromal,2,-0.287478026748688,-0.287478026748688
D03,Stromal,2,-0.301441519943683,-0.301441519943683
D07,Stromal,1,0.459081433021047,0.459081433021047
D09,Stromal,2,-0.0108721706557423,-0.0108721706557423
D10,Stromal,1,-0.161850470655769,-0.161850470655769
D11,Stromal,2,0.26005431324014,0.26005431324014
D12,Stromal,2,0.343129200876563,0.343129200876563
D15,Stromal,2,0.0756085289909173,0.0756085289909173
D16,Stromal,2,-0.211326478177506,-0.211326478177506
D18,Stromal,1,-0.175045848303893,-0.175045848303893
D20,Stromal,2,0.270682358590358,0.270682358590358
D21,Stromal,2,-0.0915240392439099,-0.0915240392439099
D22,Stromal,1,0.154307399712467,0.154307399712467
D23,Stromal,1,-0.117440750335959,-0.117440750335959
D24,Stromal,2,0.00798546117661409,0.00798546117661409
D26,Stromal,3,-0.156700366130845,-0.173148620531718
D27,Stromal,2,-0.0591849821272305,-0.0591849821272305
D28,Stromal,1,0.35081869238619,0.35081869238619
D01,Immune,2,-0.0558520304191173,-0.0558520304191173
D02,Immune,2,-0.171047009594694,-0.171047009594694
D03,Immune,2,-0.0926925024772464,-0.0926925024772464
D07,Immune,1,0.246340909085655,0.246340909085655
D09,Immune,2,0.0979430560313681,0.0979430560313681
D10,Immune,1,-0.158968736942146,-0.158968736942146
D11,Immune,2,-0.0219269659871447,-0.0219269659871447
D12,Immune,2,0.150795999971494,0.150795999971494
D15,Immune,2,-0.00185054031727147,-0.00185054031727147
D16,Immune,2,-0.0216373887900711,-0.0216373887900711
D18,Immune,1,-0.18004015436026,-0.18004015436026
D20,Immune,2,0.142893301395864,0.142893301395864
D21,Immune,2,0.0112290645632956,0.0112290645632956
D22,Immune,1,0.022258260159211,0.022258260159211
D23,Immune,1,-0.175275576605707,-0.175275576605707
D24,Immune,2,0.011193826829745,0.011193826829745
D26,Immune,3,-0.0287827161058533,-0.0282415073003233
D27,Immune,2,-0.235498307522198,-0.235498307522198
D28,Immune,1,0.179599800089944,0.179599800089944
