Patient,Sample,Tissue,n_cells,ATP4B,GIF,ATP4A,GKN1,KCNE2,ESRRG,LIPF,CPA2,MT1M,PSCA,CHIA,PGC,SST,KCNJ16,CA9,ANXA10,MT1F,MUC5AC,TFF2,AKR1B10,AKR7A3,CCKBR,SOSTDC1,MT1H,MT1X,AZGP1,MT1G,CA2,ALDH3A1,MT1E,TFF1,MUC6,LTF,SULT1C2,REG1A,CHGA,CAPN9,PIK3C2G,CKB,MT1HL1,KLK11,ALDH1A1,HPGD,CLDN18,PBLD,DUOX1,MT2A,DGKD,GPER1,ADH1C,IGFBP2,GPRC5C,CTSE,TCN1,KIAA1324,UGT2B15,FMO5,APLP1,TMPRSS2,KRT20,ACSM3,DUOX2,ECI2,PTPRZ1,XYLT2,COL2A1,HOMER2,ALDH6A1,PXMP2,ADAM28,FOLR1,FBP2,module_score,eligible
P181019,181019T,Tumor,231,0.0111036765110957,0.0117231612597709,0.0117231612597709,1.45162708160681,0.041729532795035,0.015003185767632,0,0,0.0197590832070355,2.00188048525806,0,1.07912242102933,0,0.015003185767632,0.113220543572397,0.7084178578802,0.0155130691858597,3.29999081913011,1.6900865980041,0.39819306264192,0.185152450165191,0.0120025486141056,0.0622778867746329,0.0300063715352641,0.0959714976224033,0.0270057343817377,0.23129031823311,1.34790678715809,0.349259826528046,0.228726503652928,2.49593757912194,0.157853379394069,0.00300063715352641,1.60519114820472,0.0125124320323333,0,0.450484754203202,0.145560233623951,0.0227597203605619,0,0.135543441359615,0.107517940141422,0.319731704084388,0.892258680228031,0.090303387992826,0.039518166414071,0.200735939013494,0.465668555461999,0,0.32653064851637,0.192555547276617,0.107797327495757,0.401164092026748,0,0.109042704363406,0.0377629061281939,0.0897935045745983,0.00600127430705282,0.307027343031648,0.0464854302344384,0.0180038229211584,0.143668623713704,0.0210044600746849,0.0137578088999827,0.0292708780858424,0,0.015003185767632,0.0120025486141056,0.0240050972282113,0.380590579210422,0,0.0210044600746849,-0.235725585952408,TRUE
P181025,181025N,Normal,55,0,0,0,2.00862426541068,0,0,0.179770148884166,0,0.0126026760448109,1.32535728541288,0,0.407736702398821,0,0,0.0252053520896218,0.669386319680648,0,2.94806239821694,1.63611571788788,0.245363176952709,0.0252053520896218,0,0.0325774452903055,0,0.0126026760448109,0.0525522145358,0.115565594759855,0.638409068367699,0.0199747692454945,0.249932531876998,2.40975178155032,0.046635441346602,0.14046857140281,0.657077546553179,0.0882187323136764,0,0.165976298939098,0.0325774452903055,0.0378080281344327,0,0.180720485340465,0.0577827973799273,0.445397203618831,1.01993554938923,0.0252053520896218,0,0.112250657515092,0.135540364005349,0.0126026760448109,0.0252053520896218,0.0126026760448109,0.115565594759855,0.320979233221575,0.0451801213351164,0.0630133802240546,0.0126026760448109,0.0630133802240546,0,0.255163114721125,0.483580125461926,0.0126026760448109,0.459834534471686,0,0,0.0199747692454945,0,0,0.0252053520896218,0.0126026760448109,0.142912457206033,0.0126026760448109,0,-0.512537604367141,TRUE
P181025,181025T,Tumor,153,0.0234216926923764,0.0273833648831237,0.0207715938293856,2.00370304646835,0.0846260232863085,0.0181214949663948,0.00453037374159869,0.0127183666416243,0.0207715938293856,1.46779448066662,0,1.28012263619043,0.00453037374159869,0.00453037374159869,0.0324824401755739,0.893482806635838,0.0479538362789778,3.21880839696897,2.2382920170142,0.450429547066782,0.123089915007548,0.00453037374159869,0.0362429899327895,0.0312907960679796,0.197389730441025,0.151243103875054,0.231495256517448,0.838111448911281,0.223432407659643,0.227778657589084,3.13749375841976,0.361544258454267,0.263594879823572,1.39584859913471,0.315641682132397,0,0.192585169100294,0.140100959079718,0.0570145837621752,0,0.030602165296966,0.138568688062282,0.407674574384503,1.27507224815344,0.0271822424495922,0.0388930887957804,0.1908687742707,0.182413970722872,0,0.184611539435543,0.277863219672558,0.104968420041153,0.602912461056429,0.135570585338119,0.134378941230525,0,0.0770163536071778,0.00453037374159869,0.340030480833615,0.215099079157013,0.00906074748319739,0.459265787617054,0.0181214949663948,0.0234216926923765,0.0135911212247961,0,0.0226518687079935,0.0135911212247961,0.0207715938293856,0.354842360502754,0.0294105211893718,0.0135911212247961,-0.187593020344764,TRUE
P181026,181026N,Normal,118,0,0,0,3.34355347944518,0.0768148979898227,0.0117482573299085,0.50717925823341,0,0.125353025177778,2.83673475354405,0,0.858891897282358,0,0.0563033031205,0.267886776035115,0.876324807183218,0.0621774317854542,3.32871129856271,3.273734319008,0.96391190916805,0.369745223198907,0.0151844024658203,0.244831921690602,0.28227594040208,0.421798523199761,0.237279234296185,0.838937599780196,1.44382428516776,0.623389734049975,0.647367250111144,2.94636760121685,0.108236181533943,0.0176223859948627,1.35513597928872,0.0434234243328289,0,0.391935376797692,0.146411556308553,0.0445550457905915,0,0.227209535695739,0.139990491382146,0.545181473432962,1.00911243386188,0.0832359629162288,0.0984203653820492,0.548082183983367,0.258471226288101,0.0151844024658203,0.259646929926791,0.367400880587303,0.125353025177778,0.671756650431682,0.0117482573299085,0.172346054497412,0.0117482573299085,0.116042751376912,0,0.253144033884598,0.321035886214951,0.0151844024658203,0.601518318814747,0.00587412866495424,0.00587412866495424,0.0269326597957288,0,0.00587412866495424,0.0176223859948627,0.089110091581183,0.305013030262317,0.0445550457905915,0.0587412866495424,0.158930322500035,TRUE
P181026,181026T,Tumor,140,0,0,0,2.81185423731804,0.0127982820783343,0.00495105130331857,0,0,0.02765143598829,2.20383816616876,0,0.644777909346989,0,0,0.0923954214368548,0.820341152804239,0.0568967546735492,3.59134773441723,2.59320033618382,0.606375146763666,0.289952728578023,0,0.0949112824031285,0.0898477426597051,0.224018934794835,0.0602539232798986,0.440251593930381,1.17959201591355,0.25775431564876,0.364156404563359,3.34380053452083,0.0316486920629229,0.00784723077501571,1.54950968027115,0.0739520609378815,0,0.487945927892413,0.219909191131592,0.0305476154599871,0,0.0474556412015643,0.160957564626421,0.408697289228439,1.089769249303,0.06230879511152,0.102758513178144,0.366281431913376,0.255407857894898,0,0.171719551937921,0.234229568072728,0.118825231279646,0.863850544180189,0.00495105130331857,0.0792168208530972,0.0503518206732614,0.108923128673009,0,0.26652352469308,0.121552007538932,0.00495105130331857,0.278086119038718,0.0247552565165929,0,0,0,0.00990210260663715,0.0247552565165929,0.0445594617298671,0.398616089139666,0,0.00990210260663715,-0.157313958837997,TRUE
P181217,181217N,Normal,136,0.0473246346501743,0.0637304099167095,0.0233680430580588,0.165680468082428,0.0269379528129802,0.0365427451975206,0.0131747021394618,0.0487355984309141,0.18223917834899,0.137204124647028,0,0.0871279248419929,0,0.00807803168016323,0.0182713725987603,0.140867171042106,0.180123869110556,0.131864211138557,0.159181579947472,0.586736992878072,0.423141568022616,0.0169307729777168,0.0152900113778956,0.280808021040524,0.116665829630459,0.136369144215304,1.03001394341974,0.166052793755251,0.0233680430580588,0.353810468140771,0.344863546245238,0.00509667045929853,0,0.0648916617912406,0.462458536028862,0.0767817462191863,0.0131747021394618,0.0441462292390712,0.0386580544359544,0,0.0284647135173574,0.36426689344294,0.751746071612134,0.107038378715515,0.117706267272725,0.0131747021394618,0.956679216202568,0.0416394156568191,0,0.0564548793961021,0.0381835067973418,0.0233680430580588,0.427680647548507,0,0.0395241064183852,0,0.0892415537553676,0.00807803168016323,0.266301018350265,1.29971375798478,0,0.176160658983624,0.0284647135173574,0.00509667045929853,0.00509667045929853,0,0.0101933409185971,0.0828042836750256,0.0476021380985485,0.0263494042789235,0.0131747021394618,0,-0.413651353133432,TRUE
P181217,181217T,Tumor,61,0,0,0,0.859918762425908,0.0113630685649934,0,0,0,0.114503547793529,1.39650602809718,0,0.429734960931246,0,0.0227261371299869,0.0810105312066,0.496016844374235,0.0454522742599738,1.59939848399553,0.943725028976066,0.258565347702777,0.389329204793837,0,0.102267617084941,0.114624531542669,0.236093376503616,0.137229684923516,0.363586019297115,0.602577633545047,0.15436686062422,0.472758678139233,1.5480539622854,0.0340892056949803,0.0482694907266585,0.948290699818095,0.286708784885094,0,0.192913995414484,0.171318890618496,0.248744354873407,0,0.0795414799549541,0.222287101823776,0.394850472934911,0.983761009622793,0.130582715644211,0.0113630685649934,0.395587379815149,0.138287692773538,0,0.224651305401911,0.152177820440199,0.244417049845712,0.464090423505815,0,0.108914586364246,0.0340892056949803,0.141945784209205,0,0.397725902619909,0.127593837800573,0.0454522742599738,0.588063740339436,0.15436686062422,0,0.0227261371299869,0,0.0227261371299869,0.0975515177992525,0.158228600611452,0.285749413928048,0.0432632340759528,0.0113630685649934,-0.225921647930674,TRUE
P181227,181227N,Normal,165,0.0411041953346947,0.077607841202707,0.019746039130471,0.929849354426066,0.228530089060466,0.0642703215281169,0.99664934909705,0,0.159222597786875,1.26976115486839,0,2.0967114275152,0,0,0.22329266577056,0.579319462631688,0.167624381816749,1.3242323550311,0.991679497198625,0.34512098124533,0.311142858591947,0.0444662845495976,0.0402653925346606,0.0844158230405867,0.268640510963671,0.202754636244341,0.467611846779332,0.787143627802531,0.350857610413522,0.482440839391766,1.47581125389446,0.882252116636797,0.986396825674808,0.523980415228642,1.32067972891258,0.0490420211445201,0.109621175130208,0.227644134290291,0.165167017416521,0,0.135465075752952,0.383456350095345,0.292799024870902,1.00038222471873,0.105736137158943,0.0444662845495976,0.517109029943293,0.123967378789728,0.0126026760448109,0.456934539477031,0.475493677457174,0.219880898793539,0.796193807775324,0.0465325066537569,0.239066543001117,0.0486671765645345,0.0896464058847139,0.0168035680597479,0.378643906477726,0.320272236881834,0.0486671765645345,0.183329811240688,0.0630133802240545,0.0703854734247382,0.0696716366392194,0,0.0780734206690933,0.0763298930543842,0.116595285589045,0.238503282720393,0.104706446329753,0.0973343531290691,0.153325977051532,TRUE
P181227,181227T,Tumor,163,0,0,0,0.0147110143322155,0.0152448262173706,0,0.0098738524080054,0,0.0206582560861037,1.42701654565846,0,0.619385822419009,0,0,1.17076281170172,0.556402943616996,0.0340194936178945,0.952956462198971,0.267716064774917,0.0425243670223681,1.57721063403264,0,0.00425243670223681,0.0237496996218442,0.225797966945391,0.0382719303201313,0.244716492898625,1.5240365332621,0.147473229952385,0.242961588812752,0.53324783506569,0.776667103445603,0,0.190894422355605,2.05462962718098,0,0.110243624704747,0.0988552936015686,0.468011924094218,0,0.972389486669763,0.0970903730099919,0.018378725812479,1.34256267328204,0.0790313767509227,0.0680389872357889,0.226377059345597,0.139288086101321,0,0.207024750534011,1.23009624729859,0.426161268737419,0.526205789092128,0.0304896524347411,0.385547321998269,0,0.0127573101067104,0.0152448262173706,0.44860837649714,0,0.0407594464307914,0.201316640420926,0.0790313767509227,0,0.0297670569156577,0,0.0747789400486859,0.0577691932397386,0.293827922797642,0.00425243670223681,0.00850487340447362,0,-0.0679364294912797,TRUE
P190103,190103N,Normal,640,0,0,0,0.429988829605281,0.00108304247260094,0.0159801699221134,0.00108304247260094,0.0406246796250344,0.0408919103443623,0.573212747275829,0,0.0629510134458542,0,0.00108304247260094,0.00451620593667031,0.126197642832995,0.0630854576826096,0.48698375467211,0.286194459535182,0.253304914943874,0.319444777444005,0,0.00884837582707406,0.104379299841821,0.107523798383772,0.252279809862375,0.488445337302983,0.198461156524718,0.014327372610569,0.278467077948153,0.717424106225371,0,0,0.114255684614182,0.117843967117369,0,0.0291607156395913,0.0310419231653214,0.0129150785505772,0,0.00279962420463563,0.139124814420939,0.46431097984314,0.16415819004178,0.0868697814643384,0.00216608494520188,0.68375120125711,0.0211299151182175,0,0.0438972810283304,0.0223775833845139,0.0395416371524334,0.632030375488102,0.00433216989040375,0.0147130914032459,0.00388266667723656,0.166834415495396,0,0.164263201504946,0.672238199226558,0,0.0316754624247551,0.0243790425360203,0,0.00216608494520188,0,0,0.0381931275129319,0.0431588366627694,0.0204963758587837,0.00279962420463563,0.00108304247260094,-0.662519467154994,TRUE
P190103,190103T,Tumor,57,0,0,0,1.05366618173164,0.0364814306560316,0,0.437256725210893,0,0.12367113849573,1.3168730212931,0,2.30550112640649,0,0,0.18653989256474,0.717211650128951,0.230772773424785,2.27439813237441,1.57423414472948,0.424010011187771,0.228068376842298,0,0.0679158076905368,0.100066360674406,0.430293434544614,0.12367113849573,0.942903296989307,0.785612974250526,0.31021103106047,0.719649245864467,2.46520573632759,0.945179391325566,0.0608023844267193,0.560875708596749,0.411584749556425,0,0.111510661610386,0.0729628613120632,0.085123338197407,0,0.0729628613120632,0.193653315828558,0.200766739092375,0.960530450469569,0.0314343770345053,0.0121604768853439,0.60394585341738,0.183341268907514,0,0.155105515530235,0.244143653334233,0.0729628613120632,0.624776750280147,0.0364814306560316,0.133765245738782,0.0364814306560316,0.0871897078396983,0,0.128718192117256,0.0596701304117839,0.0121604768853439,0.183341268907514,0.0679158076905368,0,0.0243209537706877,0,0,0.0364814306560316,0.111510661610386,0.111510661610386,0.0243209537706877,0.0679158076905368,-0.250279405127942,TRUE
