"relative_path","size_bytes","sha256"
"source_data/Figure2c_source_data.csv","634","6710859e233c16b5a1f308a185a520b0c90f43f430c7f91e699aaab0f3e08787"
"source_data/Figure2d_source_data.csv","1152","1ca2cc6dc5dfe761aa5eb46fa308c1fe7bdbe33e000beddc59d10e4579e9c1a0"
"source_data/Figure3a_source_data.csv","21701","d6c23e106d39b95b397aff150468a7e52b2346457991bbaf4a13bf956b3d9d00"
"source_data/Figure3b_source_data.csv","32772","56872c0e68b7457c30565d67e16ea4868dca15a76f2f377585b50cf5936ecfc5"
"source_data/Figure3c_source_data.csv","225","bd522266374b247ae2c8d4442d843de4f6e715d50b6b95c8ecf7c289afd6bd20"
"source_data/Figure3d_source_data.csv","1382","95089d8b326611ad105e093550ea1338bb237487b1739081ee5daabdb36fdfb7"
"source_data/Figure4_adjustment_statistics.csv","777","692c4639ede5207da8a9da1b13b3a687e972cada7d0a2d1143f00614a3770a12"
"source_data/Figure4a_source_data.csv","2919","6c520556ee75c8980dc1c84882a677ec711875830eab5a11d91d4ecb3bc35590"
"source_data/Figure4b_source_data.csv","121","c118fbdac2bc31c2aa9f2e7fcfde90e8fb919574a6849d3baa6f4fff70e1a580"
"source_data/Figure4c_source_data.csv","28316","5e6917520341bdb8c97bfad2e30a9524b736d7186181c94d7fa57c7a8ec0ce86"
"source_data/Figure4d_source_data.csv","262","e3e8359fa964c0debcd170f06e45e0fea945fba9d6fadea5ace7ab91ec29df6c"
"source_data/Figure5a_source_data.csv","833","adec517a54282106a1cc1a5bb7f333b18f975fa0eb881a9a9f11d0b44e8b7de8"
"source_data/Figure5b_source_data.csv","601","b101e2f5aca63f2905580925307b1f508caca44dd6b6f9a70c8e3485e3d5b1fc"
"source_data/Figure5c_source_data.csv","317","6c2221f8d57ebfe5e65c0dcc6502526724d62df84b6191bebfd5bfa9b9fb00a2"
"source_data/Figure6a_source_data.csv","7794","e4e759d2de0a9a3c0ce50e9e0a357740404c898d1927ff42903089d7a7e9b57e"
"source_data/Figure6b_source_data.csv","1447","8d93b220b2eb63ccf2af0793a0980211fb55148b3c21c2564616392535121715"
