gene,log2FoldChange,meanExpression,t,PValue,padj,standard_t,standard_PValue,standard_padj,B,direction
ISG15,1.35157713376119,9.20450798581343,3.57624440106368,0.000240938244483087,0.0234561689219612,13.7482495107385,1.36603629894534e-27,2.20066304193861e-26,52.0372237101852,Up
ASPM,1.3374079196194,6.10480120273507,3.57678789649104,0.000240480966268461,0.0234561689219612,14.1775701796267,1.13260626607557e-28,2.18096342125391e-27,54.5180163498183,Up
PMEPA1,1.2998276121791,7.16902236321642,3.54891010018381,0.000265023218222173,0.025580403447718,15.3854119966931,1.11786962917852e-31,3.37542826799812e-30,61.4140556698299,Up
PXMP2,-1.20442029232836,8.73219935273134,-3.52513059897174,0.000287803463715746,0.0275437670825587,-20.7696544122405,3.26270636378236e-44,8.56877743399864e-42,90.1573342498748,Down
ADAM28,-1.26061963671144,7.56537254914428,-3.50768668394911,0.000305672914059168,0.02900810267622,-16.9667135178818,1.62506213752781e-35,9.50871850730651e-34,70.2182132081062,Down
COL10A1,1.33710390892911,6.27991913316231,3.41785327847149,0.000415434954658282,0.0390958911912998,13.556724967409,4.16643600570818e-27,6.14250154209693e-26,50.9262698837966,Up
FOLR1,-1.30226514785075,8.13485723244776,-3.4137670478916,0.000421215949365542,0.0393123282329345,-14.7077156627589,5.34201320298172e-30,1.25534399717453e-28,57.5610796381865,Down
FBP2,-1.16829347575373,7.76554032039925,-3.36321379890653,0.000499261455784845,0.0462144231162152,-23.3474335307994,1.16341375732428e-49,8.75895437430876e-47,102.627428309842,Down
AADAC,-1.32364336253732,8.3843711201791,-3.33113978624523,0.000555588820008257,0.0510102808484003,-13.623764853942,2.81915083000755e-27,4.27912235527893e-26,51.3154195832327,Not_significant
CYP2C18,-1.34903903001493,7.17096839254478,-3.32756193445422,0.000562227821248316,0.0512035385915906,-12.861057183716,2.43906954512051e-25,2.78507708524225e-24,46.8724299176216,Not_significant
ADA,-1.21035543046642,7.57497850991231,-3.30056501387645,0.000614765441834654,0.05554036907711,-18.9909848264678,3.04689373497972e-40,4.30107136864074e-38,81.0588041247509,Not_significant
KCNJ15,-1.21080307512687,7.35708230715672,-3.26270139111837,0.000696205657856688,0.0623988134458379,-18.7401861913511,1.14185700798603e-39,1.48218289553865e-37,79.7433827596498,Not_significant
LUM,1.27347897261194,9.38879283939552,3.24922892050021,0.000727533011294036,0.0646931519412878,15.1303212380101,4.76696241561124e-31,1.31944378822298e-29,59.9689342610261,Not_significant
GREM1,1.45999303926493,9.17357150548694,3.2465192769241,0.000733990285188264,0.0647574397705552,10.3042766771493,8.46598351119758e-19,4.25295159216878e-18,31.8864881086758,Not_significant
FA2H,-1.34883692989552,8.19043017459702,-3.24074426545397,0.000747931105152556,0.0654758355683365,-12.5308852675107,1.69758925888449e-24,1.74280686368933e-23,44.9402350234195,Not_significant
HOXC6,1.27474939697015,7.50004813268657,3.23837205461187,0.000753728736729279,0.0654758355683365,15.0250114078684,8.69106079922651e-31,2.28783565514371e-29,59.3704877719773,Not_significant
HBB,-1.33687714036318,10.1616557044776,-3.22830421932476,0.000778803118761631,0.0671375848868328,-12.8113356350046,3.26574955134427e-25,3.68432664169139e-24,46.5817388769169,Not_significant
LY6E,1.22399079845522,9.02853200901119,3.06054298641516,0.00132894337807843,0.113695133095756,16.7242426005177,6.1862257055673e-35,3.27986135647754e-33,68.8864100771779,Not_significant
KLF4,-1.25786311384701,8.9236830531847,-3.02298366183881,0.00149358166369322,0.126819682166071,-14.7461945419816,4.28401357651981e-30,1.02281956278305e-28,57.7810018243947,Not_significant
CTSB,1.14625299605224,9.91256719308396,2.97297293576034,0.00174204025805461,0.146812392792617,23.300576581558,1.45072555587837e-49,1.0239402314084e-46,102.408201097874,Not_significant
CAMK2N1,1.29247778126119,9.17355248017537,2.96685709510592,0.00177490482710489,0.148474075648115,13.1107288186691,5.64316654855236e-26,7.07306102472828e-25,48.3303530689509,Not_significant
HOXC10,1.28243210846269,6.37254094613433,2.96198183464071,0.00180151032624767,0.149591589075845,13.4493936617278,7.79182706230857e-27,1.10683148446102e-25,50.3026360051035,Not_significant
COL4A2,1.25347902887687,9.79970812637127,2.84930037617067,0.00252826705539153,0.208406714281288,14.0900739770306,1.8791714368779e-28,3.47323781287433e-27,54.0135570564526,Not_significant
C1QB,1.28491645035075,8.17582263999627,2.82153424092759,0.00274442963178801,0.224585824867986,12.7245575218022,5.43663272267322e-25,5.92624453061281e-24,46.0741474808627,Not_significant
CKM,-1.22508468802239,7.10567471161567,-2.78379498973996,0.00306528705688516,0.249038034053267,-15.1515620475465,4.22366168923022e-31,1.18947160739344e-29,60.0895102511588,Not_significant
CFD,-1.36445075621642,9.25102330304851,-2.7769760455818,0.00312678167846561,0.252219610677944,-10.3965954268427,4.92549050863183e-19,2.53179628192896e-18,32.4248116979268,Not_significant
TGFBI,1.23967958663433,9.82360075316045,2.76885259227363,0.00320150112257943,0.25641526366872,14.3211613689822,4.94085956461524e-29,1.00174375337881e-27,55.344567812264,Not_significant
CD9,1.26276150565672,10.4143278291343,2.72690257452141,0.00361384886410496,0.287402783255897,13.104764307754,5.84376651883414e-26,7.26802371114471e-25,48.2955603761175,Not_significant
KPNA2,1.20708034791791,8.73031443792164,2.66415142208368,0.00432100239859802,0.341238322289283,15.529454425823,4.94295166687815e-32,1.61799284562478e-30,62.2271954747673,Not_significant
