gene,gene_key,DEG_log2FoldChange,DEG_meanExpression,DEG_t,DEG_PValue,DEG_padj,DEG_standard_t,DEG_standard_PValue,DEG_standard_padj,DEG_B,DEG_direction,WGCNA_module,WGCNA_module_color,WGCNA_MAD,WGCNA_MM,WGCNA_MM_pvalue,WGCNA_GS,WGCNA_GS_pvalue,WGCNA_hub_candidate,WGCNA_log2FoldChange,WGCNA_PValue,WGCNA_padj
"ALDH3A1","ALDH3A1",-2.13411989669403,8.04097091862314,-9.40887909880875,7.81844228998902e-17,2.45260191057905e-14,-17.7050734661201,2.89429596882297e-37,2.33466316970842e-35,74.2307521940834,"Down","M04","#9A86A4",1.9191167289,0.819308908641816,5.33319029110365e-65,-0.718570297080485,4.64847165477084e-43,TRUE,-2.13411989669403,7.81844228998902e-17,2.45260191057905e-14
"MT1E","MT1E",-1.75917273094403,11.295491377931,-9.1461467261888,3.55767651337541e-16,1.08586056393374e-13,-21.1936641795826,3.91506286634613e-45,1.16349486709597e-42,92.2664402630331,"Down","M04","#9A86A4",1.51153165173255,0.843187359340206,2.63425576423845e-72,-0.747915384941648,2.33760158161776e-48,TRUE,-1.75917273094403,3.55767651337541e-16,1.08586056393374e-13
"TFF1","TFF1",-3.14445332554477,11.4800664341082,-9.07108200235059,5.47566217523394e-16,1.58555520371582e-13,-13.3011027233873,1.85263521311623e-26,2.48477547051325e-25,49.4398451188264,"Down","M04","#9A86A4",2.060791501545,0.683645357638318,1.428732939735e-37,-0.645790949126967,1.97748198693748e-32,FALSE,-3.14445332554477,5.47566217523394e-16,1.58555520371582e-13
"MUC6","MUC6",-2.03054937210448,8.43726646320149,-9.03029775280293,6.91890437427058e-16,1.95337967746594e-13,-17.7929034049341,1.80031481286338e-37,1.51723546131837e-35,74.7036621625551,"Down","M04","#9A86A4",2.0281990587411,0.825919578661729,6.55723023452121e-67,-0.702497505022584,1.95970816449054e-40,TRUE,-2.03054937210448,6.91890437427058e-16,1.95337967746594e-13
"LTF","LTF",-2.67363531399254,9.61444808968284,-8.7223227540811,4.01477882556641e-15,1.05439295993306e-12,-13.933925712717,4.64548600660763e-28,8.12097112579257e-27,53.1118202334454,"Down","M04","#9A86A4",2.5563774978,0.730389116096499,4.14202837253981e-45,-0.636806598474423,2.57909252849779e-31,FALSE,-2.67363531399254,4.01477882556641e-15,1.05439295993306e-12
"SULT1C2","SULT1C2",-2.42599329887562,8.82444154762189,-8.64140174081867,6.35588606920645e-15,1.63129594044428e-12,-14.7013192366669,5.54172089323402e-30,1.29570712313233e-28,57.524508589379,"Down","M04","#9A86A4",2.24116231778529,0.748492949153446,1.80785212065393e-48,-0.652255478018576,2.95207298540732e-33,FALSE,-2.42599329887562,6.35588606920645e-15,1.63129594044428e-12
"REG1A","REG1A",-2.9051269497388,10.2504701225784,-8.36364232857256,3.04821003429255e-14,7.64965242605905e-12,-12.7537132000802,4.58084516773394e-25,5.02735514861218e-24,46.2447228505269,"Down","M04","#9A86A4",2.317487375532,0.630486962131143,1.49333022395092e-30,-0.601862578240902,2.6226976346985e-27,FALSE,-2.9051269497388,3.04821003429255e-14,7.64965242605905e-12
"CHGA","CHGA",-1.63201798433582,9.04752591051866,-8.35315822861714,3.23308917675487e-14,7.9372339289332e-12,-21.5698046463538,6.08247876002277e-46,2.14654476990429e-43,94.1181987972441,"Down","M04","#9A86A4",1.4916208797,0.897259015084547,1.16941249614971e-94,-0.621355984317757,1.76020166947049e-29,TRUE,-1.63201798433582,3.23308917675487e-14,7.9372339289332e-12
"CAPN9","CAPN9",-1.71461363603731,7.43684609077985,-8.1881453497651,8.14370070310957e-14,1.91597525083784e-11,-19.6462885153086,1.00212031680479e-41,1.79634043455183e-39,84.4580496454834,"Down","M04","#9A86A4",1.46103519344685,0.899372975967264,8.94894765753403e-96,-0.666167034601609,4.19186472993231e-35,TRUE,-1.71461363603731,8.14370070310957e-14,1.91597525083784e-11
"PIK3C2G","PIK3C2G",-1.56262024966418,6.95801928598881,-7.91688570633862,3.67049535933131e-13,8.45936818223031e-11,-21.988341028226,7.82202687121007e-47,3.27163516505835e-44,96.157502096711,"Down","M04","#9A86A4",1.4828881010559,0.942217942551555,5.6978984257831e-126,-0.646601178360264,1.56200572612612e-32,TRUE,-1.56262024966418,3.67049535933131e-13,8.45936818223031e-11
"CKB","CKB",-1.78088884492537,9.76932284675373,-7.69402832336029,1.24809111452043e-12,2.71051787620754e-10,-17.5469393661548,6.82041521201827e-37,5.06729927561331e-35,73.3769212346968,"Down","M04","#9A86A4",1.4306207853,0.704611313504884,9.0594936178021e-41,-0.66693971061681,3.28744440683023e-35,FALSE,-1.78088884492537,1.24809111452043e-12,2.71051787620754e-10
"MT1HL1","MT1HL1",-1.58646111573134,11.8943351739254,-7.60427768863396,2.03583553192363e-12,4.25753530778028e-10,-20.5706577002927,8.89495192066869e-44,2.18371069652416e-41,89.1595439080459,"Down","M04","#9A86A4",1.297273065207,0.872401758615578,4.09993615403827e-83,-0.720958631031061,1.82630631760092e-43,TRUE,-1.58646111573134,2.03583553192363e-12,4.25753530778028e-10
"KLK11","KLK11",-1.80890633345522,8.59663263315299,-7.35423570460815,7.86491437544682e-12,1.58604425074859e-09,-16.4458145443914,2.89531603235374e-34,1.39729931424662e-32,67.348728345531,"Down","M04","#9A86A4",1.7719470655572,0.825019507211766,1.20649583709868e-66,-0.688507587693576,2.73854871807623e-38,TRUE,-1.80890633345522,7.86491437544682e-12,1.58604425074859e-09
"ALDH1A1","ALDH1A1",-2.02176662156716,9.48489211517164,-7.30566168045701,1.02050397717077e-11,2.0218511252964e-09,-14.4556913704578,2.27477735400203e-29,4.88385183626328e-28,56.1174207721959,"Down","M04","#9A86A4",1.7953187356335,0.804610373286003,5.09811586090504e-61,-0.618725026844156,3.52994827030617e-29,TRUE,-2.02176662156716,1.02050397717077e-11,2.0218511252964e-09
"HPGD","HPGD",-1.68132110297761,7.34387312525187,-7.26101636879265,1.29573750686629e-11,2.48012943475272e-09,-17.9182767076541,9.1563374817643e-38,8.07832181105971e-36,75.3770782007317,"Down","M04","#9A86A4",1.53157279749337,0.739162247800605,1.05640419298382e-46,-0.649747832846008,6.20752034575207e-33,FALSE,-1.68132110297761,1.29573750686629e-11,2.48012943475272e-09
"CLDN18","CLDN18",-2.14650162879353,9.4078814256704,-6.8726830989086,1.00712238280355e-10,1.80530683634929e-08,-12.8671648565497,2.35318974584448e-25,2.69792607104789e-24,46.9081301301135,"Down","M04","#9A86A4",2.26516251834039,0.773750565384939,1.14195583144238e-53,-0.568718606611468,6.16340575663903e-24,FALSE,-2.14650162879353,1.00712238280355e-10,1.80530683634929e-08
